Periodo,Valor
2012/07,99.3109087175
2012/08,99.0991742906
2012/09,95.1892432023
2012/10,101.8599081918
2012/11,104.3864838323
2012/12,100.5281610568
2013/01,97.9685697664
2013/02,94.6710013498
2013/03,97.0607792185
2013/04,99.9162120728
2013/05,102.2752779203
2013/06,99.5175338315
2013/07,100.8098181705
2013/08,100.2735696463
2013/09,96.8067532908
2013/10,103.6672025385
2013/11,104.2316795959
2013/12,102.8016025987
2014/01,98.7551661299
2014/02,96.9565686389
2014/03,101.4948685515
2014/04,100.3185795549
2014/05,104.8608549133
2014/06,102.8940513237
2014/07,104.1387045261
2014/08,101.736245748
2014/09,100.015480168
2014/10,106.8110507762
2014/11,106.4798048578
2014/12,106.8812901219
2015/01,102.3196926725
2015/02,99.8704650483
2015/03,104.9660190467
2015/04,103.6878263677
2015/05,106.1978657454
2015/06,107.31701008
2015/07,107.4600369485
2015/08,105.4826832344
2015/09,105.0228969667
2015/10,109.2946931963
2015/11,109.0992811139
2015/12,109.2631770477
2016/01,104.41905109
2016/02,104.5802841699
2016/03,105.9086718663
2016/04,107.2928377733
2016/05,109.0626469972
2016/06,109.9618137896
2016/07,107.5251038871
2016/08,108.948567451
2016/09,106.0607391682
2016/10,110.5642099982
2016/11,114.1452150736
2016/12,112.5090612681
2017/01,108.4191757279
2017/02,105.2826348326
2017/03,111.9035643502
2017/04,106.200744347
2017/05,112.3023540845
2017/06,112.7963830072
2017/07,108.9544603311
2017/08,111.7700625057
2017/09,106.322341775
2017/10,112.8492345055
2017/11,116.1806764848
2017/12,114.000994501
2018/01,111.0174522205
2018/02,107.8140543459
2018/03,111.201252989
2018/04,111.6044876883
2018/05,115.8296435926
2018/06,114.446678512
2018/07,112.8039937469
2018/08,114.3266642144
2018/09,108.7677490422
2018/10,115.9594584715
2018/11,117.7194403233
2018/12,113.0955528723
2019/01,112.5139036166
2019/02,108.8312350148
2019/03,112.2782357078
2019/04,109.808435436
2019/05,115.2343247383
2019/06,112.8242856002
2019/07,113.3721488239
2019/08,113.2320701971
2019/09,108.8574969971
2019/10,115.370367726
2019/11,116.2862303703
2019/12,113.3895246795
2020/01,112.3621592344
2020/02,108.8591688271
2020/03,110.0365786299
2020/04,88.2738074134
2020/05,89.0051368542
2020/06,97.9282927059
2020/07,102.3709949105
2020/08,102.7420281747
2020/09,103.3683933883
2020/10,109.2701951606
2020/11,111.0657844326
2020/12,110.8489777115
2021/01,105.3567357466
2021/02,102.6662642738
2021/03,111.5311399687
2021/04,108.0704416353
2021/05,112.0640489149
2021/06,111.1712750535
2021/07,109.8778508634
2021/08,107.2195084527
2021/09,104.2254745273
2021/10,108.4628264752
2021/11,112.9378616693
2021/12,112.3078876771
2022/01,107.2873035436
2022/02,105.2311790249
2022/03,111.9401522668
2022/04,109.5298658946
2022/05,114.4424238001
2022/06,112.7975010612
2022/07,111.2745518323
